,job,marital,education,default,housing,loan,contact,month,y,age,balance,day,duration,campaign
0,1,1,3,0,1,0,0,5,0,58,2143,5,261,1
1,2,0,2,0,1,0,0,5,0,44,29,5,151,1
2,3,1,2,0,1,1,0,5,0,33,2,5,76,1
3,4,1,0,0,1,0,0,5,0,47,1506,5,92,1
4,0,0,0,0,0,0,0,5,0,33,1,5,198,1
5,1,1,3,0,1,0,0,5,0,35,231,5,139,1
6,1,0,3,0,1,1,0,5,0,28,447,5,217,1
7,3,2,3,1,1,0,0,5,0,42,2,5,380,1
8,5,1,1,0,1,0,0,5,0,58,121,5,50,1
9,2,0,2,0,1,0,0,5,0,43,593,5,55,1
10,6,2,2,0,1,0,0,5,0,41,270,5,222,1
11,6,0,2,0,1,0,0,5,0,29,390,5,137,1
12,2,1,2,0,1,0,0,5,0,53,6,5,517,1
13,2,1,0,0,1,0,0,5,0,58,71,5,71,1
14,7,1,2,0,1,0,0,5,0,57,162,5,174,1
15,5,1,1,0,1,0,0,5,0,51,229,5,353,1
16,6,0,0,0,1,0,0,5,0,45,13,5,98,1
17,4,1,1,0,1,0,0,5,0,57,52,5,38,1
18,5,1,1,0,1,0,0,5,0,60,60,5,219,1
19,7,1,2,0,1,0,0,5,0,33,0,5,54,1
20,4,1,2,0,1,1,0,5,0,28,723,5,262,1
21,1,1,3,0,1,0,0,5,0,56,779,5,164,1
22,4,0,1,0,1,1,0,5,0,32,23,5,160,1
23,7,1,2,0,1,0,0,5,0,25,50,5,342,1
24,5,1,1,0,1,1,0,5,0,40,0,5,181,1
25,6,1,2,0,1,0,0,5,0,44,-372,5,172,1
26,1,0,3,0,1,0,0,5,0,39,255,5,296,1
27,3,1,2,0,1,1,0,5,0,52,113,5,127,1
28,1,0,2,0,1,0,0,5,0,46,-246,5,255,2
29,2,0,2,0,1,1,0,5,0,36,265,5,348,1
30,2,1,2,0,0,1,0,5,0,57,839,5,225,1
31,1,1,3,0,1,0,0,5,0,49,378,5,230,1
32,6,1,2,0,1,1,0,5,0,60,39,5,208,1
33,4,1,2,0,1,0,0,5,0,59,0,5,226,1
34,1,1,3,0,1,0,0,5,0,51,10635,5,336,1
35,2,2,2,0,1,0,0,5,0,57,63,5,242,1
36,4,1,2,0,1,0,0,5,0,25,-7,5,365,1
37,2,1,2,0,0,0,0,5,0,53,-3,5,1666,1
38,6,2,2,0,1,0,0,5,0,36,506,5,577,1
39,6,0,2,0,1,0,0,5,0,37,0,5,137,1
40,7,2,2,0,1,0,0,5,0,44,2586,5,160,1
41,1,1,2,0,1,0,0,5,0,50,49,5,180,2
42,4,1,0,0,1,0,0,5,0,60,104,5,22,1
43,5,1,2,0,1,0,0,5,0,54,529,5,1492,1
44,5,1,0,0,1,0,0,5,0,58,96,5,616,1
45,6,0,1,0,1,0,0,5,0,36,-171,5,242,1
46,8,1,3,0,1,0,0,5,0,58,-364,5,355,1
47,2,1,2,0,1,0,0,5,0,44,0,5,225,2
48,2,2,2,0,0,0,0,5,0,55,0,5,160,1
49,1,0,3,0,1,0,0,5,0,29,0,5,363,1
50,4,1,2,0,1,0,0,5,0,54,1291,5,266,1
